Age.at.T04,Gender.T04,Religious.T04,Religion.Identification.T04,T4.MAORI.GME,T4.MAORI.VEM,Perc.Discrim.T04
28.84599589322382,0,0,NA,7,6.571428571428571,7
37.01300479123888,1,0,NA,6.625,3,3
45.36892539356605,1,0,NA,7,4.428571428571429,4
49.4839151266256,0,0,NA,6.875,5.714285714285714,6
48.733744010951405,0,1,7,7,4.571428571428571,6
20.91170431211499,1,0,NA,5.875,4,4
50.70773442847365,1,0,NA,7,5.142857142857143,3
60.284736481861735,0,1,6,7,4.333333333333333,3
54.97330595482546,1,0,NA,5.666666666666667,4.666666666666667,4
43.52361396303901,0,0,NA,6,4,2
19.509924709103355,1,0,NA,6.875,6.285714285714286,7
53.74127310061601,0,0,NA,7,7,4
49.61533196440794,1,0,NA,5.625,4.142857142857143,2
25.626283367556468,1,0,NA,6.25,2,6
36.73921971252567,0,1,5,7,5.857142857142857,6
42.105407255304584,0,0,NA,6.375,1,2
37.42094455852156,1,0,NA,4.5,4.285714285714286,1
18.82819986310746,1,0,NA,6.25,3.857142857142857,1
42.97056810403833,0,1,NA,5.5,1.7142857142857142,1
50.893908281998634,0,1,6,6,4.714285714285714,4
66.23134839151267,0,1,7,7,5.285714285714286,1
